chrom	gene	str.id	str.start	alpha	alpha.se	alpha.pval	beta	beta.se	beta.pval	linear.beta	linear.beta.se	linear.pval	quad_rsq	lin_rsq	delta_aic	anova_pval
chr7	ENSG00000001626.10_13	STR_117122527	117122527	9.90293320565e-05	0.000928170624622	0.915116077244	2.07910351185e-06	4.38892735921e-06	0.636106437754	0.03462092135771299	0.06494780075126196	0.5944561218940385	0.0011087320324316696	0.0011087320324318917	-20.10955134137464	nan
chr7	ENSG00000001626.10_13	STR_117123613	117123613	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117123789	117123789	0.00599177027891	0.0231099763535	0.795720009171	0.00012404411626	0.000393545053082	0.752975377795	-0.11437736580895774	0.07423179843291547	0.12509901840144633	0.013418097127317341	0.012876572772704264	-1.015811473476333	nan
chr7	ENSG00000001626.10_13	STR_117130367	117130367	0.00322584818149	0.0310222169446	0.917281855507	0.000781095984261	0.00386763180259	0.840148541755	-0.0054708838545208215	0.06631197270878161	0.9343267052725261	0.00022971496673196423	3.2723032781345474e-05	20.690379563438796	nan
chr7	ENSG00000001626.10_13	STR_117136954	117136954	-0.000122312056617	0.00230229502317	0.957677117866	-6.14694359875e-06	6.37606411495e-05	0.923280914679	-0.0074953708021395305	0.0684325519502101	0.9128773488001398	5.1707117991628415e-05	5.1707117991184326e-05	-19.41632699973809	nan
chr7	ENSG00000001626.10_13	STR_117138871	117138871	0.00152497498555	0.00333689668673	0.648508410361	2.61756074967e-06	1.01682132415e-05	0.797298435774	0.05022541275796714	0.09854563289245807	0.6112289935593003	0.002738158578458827	0.002178102592648612	-15.83470876655781	nan
chr7	ENSG00000001626.10_13	STR_117139115	117139115	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117139484	117139484	0.0327587952751	0.0431438591396	0.448469017164	-0.02816808595	0.0399486998788	0.481470051303	0.0715405033204621	0.06689649304953475	0.28601592569230255	0.0071969554113400225	0.0050128980722469185	-3.2568158883576643	nan
chr7	ENSG00000001626.10_13	STR_117139849	117139849	-0.000261308218628	0.00150653665008	0.862432980479	7.51944669642e-06	1.10386231821e-05	0.496354834952	-0.04833706281318056	0.06400245353277044	0.4507900007633274	0.0021889821261941167	0.0021889821261940057	-17.083786674200155	nan
chr7	ENSG00000001626.10_13	STR_117140333	117140333	0.366676619563	1.30405193011	0.779098636173	-0.0373641900209	0.147831924384	0.800934834551	-0.09083774196461193	0.09763599718184054	0.35419781377441373	0.008313689196550955	0.007737776946115993	-5.329245767217401	nan
chr7	ENSG00000001626.10_13	STR_117141802	117141802	0.017411779943	0.0435620304298	0.690356486677	-8.37104804952e-05	0.000314982413929	0.791050973748	-0.09959515922517402	0.12566023652911928	0.4301570446409081	0.007893185535184588	0.007087758439756953	-28.32227950038765	nan
chr7	ENSG00000001626.10_13	STR_117142109	117142109	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117144811	117144811	0.00944362249985	0.0120441108734	0.434900008118	0.00031390523941	0.00027636683292	0.258827049666	-0.0408982413458301	0.1016999337443791	0.6884521943833823	0.014751365762069368	0.0016475012790506671	-0.8371472969469096	nan
chr7	ENSG00000001626.10_13	STR_117146293	117146293	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117146854	117146854	-9.13000847235e-05	0.00102131874709	0.928836842171	1.85627031393e-06	3.89154828586e-06	0.633759417272	-0.03372651159132682	0.06361975812525994	0.596473296781517	0.001071499400914	0.0010714994009147771	-15.775105779408932	nan
chr7	ENSG00000001626.10_13	STR_117147833	117147833	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117151098	117151098	9.6373642234e-05	0.000914153967275	0.916120768942	2.00764586907e-06	4.25429304444e-06	0.637386419804	0.03402099023203798	0.06406975666432191	0.5958726214817371	0.0010832873773235496	0.0010832873773234386	-17.34435361656415	nan
chr7	ENSG00000001626.10_13	STR_117152688	117152688	-0.182088012003	0.129484825533	0.162630857804	0.0100215123465	0.00841707497846	0.236514492286	0.1041643431842641	0.10242794559566941	0.3115136451488731	0.023069405774904794	0.009753383553781192	-10.851622822114734	nan
chr7	ENSG00000001626.10_13	STR_117153492	117153492	0.0255589283712	0.0577948318862	0.659001197851	0.012528284811	0.0166017143168	0.451733740434	0.004427506948839994	0.08796191701903051	0.9599271753950298	0.00406911998703241	1.7968102458909563e-05	-11.032258256487125	nan
chr7	ENSG00000001626.10_13	STR_117154226	117154226	-0.00992891660952	0.0144688854145	0.493192024107	0.0017038106097	0.00386141248942	0.659411506978	-0.03609614176252678	0.0647068112077228	0.5774382440381711	0.001968402692988702	0.001209380335531307	-17.494621475535155	nan
chr7	ENSG00000001626.10_13	STR_117156415	117156415	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117156710	117156710	-6.55872370228e-05	0.00104642778544	0.950072406281	1.34878540689e-06	4.07472716401e-06	0.740905862597	-0.02337935355613322	0.06355602454176205	0.7132858740695769	0.0005283017930680645	0.0005283017930679534	-8.782039876195768	nan
chr7	ENSG00000001626.10_13	STR_117158624	117158624	-7.39619681679e-05	0.00259008661307	0.977249324629	-7.54254428383e-07	2.63595408982e-05	0.977202884185	0.0026343901482400473	0.07581908855088022	0.972319353008885	1.079997095942975e-05	6.421587882110558e-06	-12.752052671395973	nan
chr7	ENSG00000001626.10_13	STR_117163413	117163413	0.0123365088901	0.0274818352444	0.653989670563	0.00113205095633	0.00339270432278	0.738974802806	0.023131869419999406	0.07430449229958525	0.7558845963759875	0.0010328913211623547	0.0004795475070034083	-20.467211075035493	nan
chr7	ENSG00000001626.10_13	STR_117164447	117164447	0.000125869110911	0.0112247744476	0.991070291994	0.000211883258833	0.000331078435164	0.523312529388	-0.04024590883125713	0.0905926070462195	0.6575937207471696	0.004640237991017426	0.0015042945016484621	-8.252041943160691	nan
chr7	ENSG00000001626.10_13	STR_117172132	117172132	-0.00823177787867	0.0108270863114	0.448125372511	3.29041138046e-05	4.18872294502e-05	0.433223825723	-0.0021387584798960245	0.07711931658191026	0.9779071673217384	0.0036000991195785925	4.4716392085808465e-06	-2.5758678251029323	nan
chr7	ENSG00000001626.10_13	STR_117175580	117175580	-0.00640179517767	0.0180662069244	0.723741444926	0.000136729024041	0.000614632202651	0.824363575649	-0.08007784047481388	0.10170204255820606	0.43270966310206993	0.005895699590032222	0.005456456704171608	-16.616795998668636	nan
chr7	ENSG00000001626.10_13	STR_117176569	117176569	-0.121173069862	0.224919120059	0.590539536087	0.0122413271434	0.0222708436087	0.583039454795	-0.005031329803678714	0.06472134659181	0.9380974011048349	0.001216500789929409	2.3791752531088228e-05	-14.18511572454122	nan
chr7	ENSG00000001626.10_13	STR_117179476	117179476	-0.00483927793288	0.00913750148265	0.596904816335	0.000276156184603	0.000402590783263	0.49344922288	-0.041440066281710285	0.07062576247450629	0.5579508837888021	0.003588858201009515	0.0015143649445337193	-27.271866406786216	nan
chr7	ENSG00000001626.10_13	STR_117180992	117180992	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117181286	117181286	-0.00101719642902	0.000968167502008	0.29441817676	4.14060070625e-08	1.73604910456e-06	0.980990342362	0.07520094243841989	0.06482679351026006	0.24711782953068434	0.005231243019796383	0.005229023880061634	-18.21426294735204	nan
chr7	ENSG00000001626.10_13	STR_117182601	117182601	6.46756173687e-05	0.00103802222434	0.95036692821	-1.32495244712e-06	4.01263646102e-06	0.741520592715	0.02367393059995264	0.06451468953912344	0.7139540353061036	0.0005216475874713078	0.0005216475874709747	-18.656740954569273	nan
chr7	ENSG00000001626.10_13	STR_117185853	117185853	-0.00100834508542	0.00773782277462	0.896427320561	0.000314916081005	0.000363363185544	0.386988304535	0.011182521036226498	0.06616099308899265	0.865922803917345	0.00323804606309952	0.00011852416291546763	-11.780966777611638	nan
chr7	ENSG00000001626.10_13	STR_117186039	117186039	0.00593296999991	0.0290877207164	0.838538524937	0.0015157335998	0.00960835489245	0.874775435565	0.013235634018517902	0.06432868848311205	0.8371477506467448	0.00016342156394544283	0.00016342156394544283	-18.137499285113563	nan
chr7	ENSG00000001626.10_13	STR_117186530	117186530	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117187552	117187552	-7.40435423143e-05	0.00106798942863	0.944782270475	1.537542721e-06	4.2362024343e-06	0.716945394323	-0.026344621260775167	0.06531833413997518	0.6870513390271755	0.0006476772214446536	0.0006476772214442095	-17.49135680598033	nan
chr7	ENSG00000001626.10_13	STR_117188388	117188388	0.00711418120277	0.0213020312217	0.738749002062	0.0106403697193	0.00971702924594	0.274804097566	0.04397713511689081	0.07341485962734469	0.5498226627582625	0.007617649255439951	0.0017558706508123967	-19.116848306000975	nan
chr7	ENSG00000001626.10_13	STR_117188661	117188661	0.0783483095249	0.0448313326041	0.082965308247	-0.00551384674403	0.00249558971596	0.028951226276	0.057379486871445375	0.08547689358139429	0.5032571629427185	0.04070171397084932	0.003535687617917338	6.29287229933982	nan
chr7	ENSG00000001626.10_13	STR_117189853	117189853	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117190384	117190384	0.0836265538297	0.0508308694732	0.10162817194	-0.00740535207769	0.00469470328243	0.116415490098	-0.03387476585871066	0.06986587666801783	0.6283502684779528	0.014516472051565144	0.001262295052578355	17.41342521722561	nan
chr7	ENSG00000001626.10_13	STR_117192118	117192118	-0.000488484077018	0.000942070039247	0.604554561326	-1.03995096624e-05	4.58345409802e-06	0.0241292536826	-0.16028393171564645	0.06277305278601591	0.011265106875629864	0.025515785107471323	0.025515785107471323	-1.717108085820655	nan
chr7	ENSG00000001626.10_13	STR_117193279	117193279	-0.0112695553035	0.036326022731	0.756636668797	-0.00944048993089	0.0205620242884	0.646537252696	0.0001146743626134969	0.06354300290767664	0.9985614852799976	0.0008259713375856625	1.2722053965852353e-08	-6.753159507038276	nan
chr7	ENSG00000001626.10_13	STR_117196567	117196567	0.0332981960493	0.052055471784	0.523661013806	-0.000681624103365	0.0022277017274	0.76017584858	-0.10390904174269702	0.10671693667467791	0.3322373559370809	0.008913596485713327	0.008106752672125905	-31.912367893730902	nan
chr7	ENSG00000001626.10_13	STR_117198234	117198234	None	None	None	None	None	None	None	None	None	None	None	None	None
chr7	ENSG00000001626.10_13	STR_117198608	117198608	0.0357158315604	0.0238956432058	0.136339420065	0.00772023794421	0.0109096497416	0.479859497415	0.09114263548803532	0.06456152496849389	0.1593446912848309	0.010438697575795741	0.008338933713745722	2.410975948081841	nan
chr7	ENSG00000001626.10_13	STR_117206303	117206303	0.018053958744	0.0214945503581	0.401826448684	-0.00463700263704	0.00490489826737	0.34546466442	0.1258246176630054	0.06780178952999655	0.064770958616647	0.018662780742512153	0.014815994083189232	-14.222610538663162	nan
chr7	ENSG00000001626.10_13	STR_117206654	117206654	0.00234073707092	0.00714186708637	0.743495757968	1.96696206121e-05	0.000107580134563	0.855138838046	-0.059826438115060145	0.07975893613181756	0.4542073254165264	0.003396230035901615	0.0032047598858125914	-17.593015118591552	nan
chr7	ENSG00000001626.10_13	STR_117210248	117210248	0.000441787749523	0.00566750740973	0.937950840068	4.20056155182e-05	6.52928992757e-05	0.520795069715	-0.044387327682006573	0.0770120573013884	0.5650591788551743	0.0039896504158634105	0.0017733240864373778	-18.3212204730454	nan
chr7	ENSG00000001626.10_13	STR_117211870	117211870	None	None	None	None	None	None	None	None	None	None	None	None	None
